course_name,math/stat,stock_trading,stress_relieve,mobile_app_dev,critical_thinking/reasoning,database,courses_taught_in_foreign_language,javascript(minor_topic),social_science,random1,web_development,languages,finance/accounting,nutrition/health,financial_math(small_cluster),speaking/sound(small_cluster),online_ed_related,music,random2,photography,e-commerce/small_business,random3,fitness/weight_loss,science,programming,liberal_art,tsne_1,tsne_2,color,rating counts,total_enrollment,rating,final_provider,final_link,effort_hr_wk,final_price,course_name_for_hover,course_name_for_unhover,course_name_with_underscore,final_img
JavaScript for Beginning Web Developers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54458243295,0.0,0.0,0.0,0.0249203165547,0.0,0.0,0.0,0.0,0.0330501680618,0.0,0.0,0.0,0.0,0.389539102562,0.0,-10.6035561056,1.82426708677,#4dae4a,4.0,899.0,90.0,Udemy,https://www.udemy.com/learn-javascript-programming/,0,26,hovercourse('JavaScript for Beginning Web Developers'),unhovercourse('JavaScript for Beginning Web Developers'),JavaScript_for_Beginning_Web_Developers,../static/course_images/JavaScript_for_Beginning_Web_Developers.jpg
Java server faces 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250146743691,0.0,0.0,0.578740679729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379553789588,0.0,-10.9106148256,1.75968593323,#4dae4a,2.0,146.0,50.0,Udemy,https://www.udemy.com/learn-jsf/,0,20,hovercourse('Java server faces 2.0'),unhovercourse('Java server faces 2.0'),Java_server_faces_2.0,../static/course_images/Java_server_faces_2.0.jpg
Php & Mysql For Beginners,0.0,0.0,0.0,0.0,0.0,0.289412234132,0.0,0.0,0.0,0.0102237722318,0.348800326872,0.113884509636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235331214373,0.0,-9.37271708984,5.60658811268,navy,54.0,6577.0,68.888,Udemy,https://www.udemy.com/everything-about-php-for-beginner/,0,49,hovercourse('Php & Mysql For Beginners'),unhovercourse('Php & Mysql For Beginners'),Php_&_Mysql_For_Beginners,../static/course_images/Php_&_Mysql_For_Beginners.jpg
Practical PHP: Master the Basics and Code Dynamic Websites,0.0,0.0,0.0,0.0,0.0848375092817,0.0347648269054,0.0,0.0,0.0,0.0,0.37647235674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0965584577285,0.0,0.0,0.0,0.388966516549,0.0,-8.75606410455,2.33744287288,navy,474.0,26064.0,96.73,Udemy,https://www.udemy.com/code-dynamic-websites/,0,n.a.,hovercourse('Practical PHP: Master the Basics and Code Dynamic Websites'),unhovercourse('Practical PHP: Master the Basics and Code Dynamic Websites'),Practical_PHP:_Master_the_Basics_and_Code_Dynamic_Websites,../static/course_images/Practical_PHP:_Master_the_Basics_and_Code_Dynamic_Websites.jpg
Learn Java From Scratch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515923726131,0.0,0.0,0.0,0.0,0.0614398694005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413516658235,0.0,-10.3589117578,1.87612840652,#4dae4a,1.0,92.0,100.0,Udemy,https://www.udemy.com/learnjava/,0,99,hovercourse('Learn Java From Scratch'),unhovercourse('Learn Java From Scratch'),Learn_Java_From_Scratch,../static/course_images/0.png
Learn to build web applications,0.0,0.0,0.0,0.0549832085543,0.0414933348783,0.234389318537,0.0,0.0,0.0,0.0,0.452453954988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544158805864,0.0,0.0143623445573,0.0,0.145227700336,0.0,-9.98852587608,4.77124524316,navy,11.0,190.0,98.182,Udemy,https://www.udemy.com/build-scalable-apps-on-google-app-engine/,0,32,hovercourse('Learn to build web applications'),unhovercourse('Learn to build web applications'),Learn_to_build_web_applications,../static/course_images/Learn_to_build_web_applications.jpg
Learn JavaScript for Beginners,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500421953104,0.0,0.0,0.0,0.0,0.0,0.0570432680954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431876762118,0.0,-10.0163052294,1.79303341038,#4dae4a,36.0,11049.0,83.334,Udemy,https://www.udemy.com/learn-javascript-for-beginners/,0,47,hovercourse('Learn JavaScript for Beginners'),unhovercourse('Learn JavaScript for Beginners'),Learn_JavaScript_for_Beginners,../static/course_images/Learn_JavaScript_for_Beginners.jpg
Programming with C#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489739631256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413273523461,0.0601278709217,-10.0561276625,1.94510322826,navy,,,,EDX,https://www.edx.org/course/programming-c-microsoft-dev204x-0,8.0,n.a.,hovercourse('Programming with C#'),unhovercourse('Programming with C#'),Programming_with_C#,../static/course_images/c-sharp-378x225.jpg
Building Responsive Data Visualizations with D3 JS,0.049683856648,0.0,0.0,0.0,0.0,0.0670773531293,0.0,0.0336452340543,0.0327809936313,0.0,0.569789265957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237362646123,0.0,-10.8386808246,2.06100932311,#4dae4a,3.0,73.0,60.0,Udemy,https://www.udemy.com/building-responsive-data-visualizations-with-d3js/,0,24,hovercourse('Building Responsive Data Visualizations with D3 JS'),unhovercourse('Building Responsive Data Visualizations with D3 JS'),Building_Responsive_Data_Visualizations_with_D3_JS,../static/course_images/Building_Responsive_Data_Visualizations_with_D3_JS.jpg
Introduction to JavaScript Development,0.0530487233466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572988389658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363794894068,0.0,-10.8338496464,1.8318471833,#4dae4a,55.0,3937.0,82.546,Udemy,https://www.udemy.com/refactoru-intro-js/,0,n.a.,hovercourse('Introduction to JavaScript Development'),unhovercourse('Introduction to JavaScript Development'),Introduction_to_JavaScript_Development,../static/course_images/0.png
programming in python,0.0589366782446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269275948178,0.488545285934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41474231477,0.0,-10.0928541562,2.01466139011,navy,0.0,8.0,0.0,Udemy,https://www.udemy.com/programming-in-python/,0,12,hovercourse('programming in python'),unhovercourse('programming in python'),programming_in_python,../static/course_images/programming_in_python.jpg
Simple Javascript: Learn by Doing,0.0,0.0,0.0,0.040320689,0.0,0.0,0.0,0.0,0.0,0.0,0.499185142649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0387945258023,0.0454433651486,0.0,0.0,0.0,0.0,0.373329855995,0.0,-10.1308723897,1.90690143663,navy,2.0,1697.0,100.0,Udemy,https://www.udemy.com/simple-javascript-learn-by-doing/,0,19,hovercourse('Simple Javascript: Learn by Doing'),unhovercourse('Simple Javascript: Learn by Doing'),Simple_Javascript:_Learn_by_Doing,../static/course_images/Simple_Javascript:_Learn_by_Doing.jpg
Complete JavaScript: From Fundamentals to Functional JS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587136172931,0.0,0.0,0.0,0.0,0.0,0.051688337206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355680984368,0.0,-10.8802925888,1.69192000091,#4dae4a,19.0,928.0,83.158,Udemy,https://www.udemy.com/complete-javascript-from-fundamentals-to-functional-js/,0,149,hovercourse('Complete JavaScript: From Fundamentals to Functional JS'),unhovercourse('Complete JavaScript: From Fundamentals to Functional JS'),Complete_JavaScript:_From_Fundamentals_to_Functional_JS,../static/course_images/Complete_JavaScript:_From_Fundamentals_to_Functional_JS.jpg
Complete Python and Ruby programming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631295660966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360388330718,0.0,-11.4516776909,1.54657741631,#4dae4a,4.0,335.0,100.0,Udemy,https://www.udemy.com/python-and-ruby-learn-python-and-ruby-programming/,0,37,hovercourse('Complete Python and Ruby programming'),unhovercourse('Complete Python and Ruby programming'),Complete_Python_and_Ruby_programming,../static/course_images/Complete_Python_and_Ruby_programming.jpg
Mastering the Google Chrome Developer Tools,0.0286946301291,0.0152027345326,0.0,0.0535882948741,0.0,0.0189789312862,0.0,0.0,0.0,0.0,0.530044751245,0.0,0.0,0.0,0.0,0.02397709302,0.0348550586288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287404421339,0.0,-10.4273100912,1.88226788331,#4dae4a,5.0,1037.0,76.0,Udemy,https://www.udemy.com/mastering-chrome-developer-tools/,0,17,hovercourse('Mastering the Google Chrome Developer Tools'),unhovercourse('Mastering the Google Chrome Developer Tools'),Mastering_the_Google_Chrome_Developer_Tools,../static/course_images/Mastering_the_Google_Chrome_Developer_Tools.jpg
Python for Rookies,0.0,0.0,0.0,0.0,0.0548601266716,0.0,0.0,0.0,0.0,0.0,0.609378484884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33127095502,0.0,-11.2583090446,1.62960655446,#4dae4a,5.0,1522.0,84.0,Udemy,https://www.udemy.com/python-for-rookies/,0,49,hovercourse('Python for Rookies'),unhovercourse('Python for Rookies'),Python_for_Rookies,../static/course_images/Python_for_Rookies.jpg
PHP & MySQL Move First Steps. Learn the 25 Codes to Start,0.0290693778173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485110548846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478509202389,0.0,-10.0496963824,1.97667674031,navy,0.0,1.0,0.0,Udemy,https://www.udemy.com/php-mysql-tutorial-beginner-move-first-steps-learn-codes-to-start/,0,29,hovercourse('PHP & MySQL Move First Steps. Learn the 25 Codes to Start'),unhovercourse('PHP & MySQL Move First Steps. Learn the 25 Codes to Start'),PHP_&_MySQL_Move_First_Steps._Learn_the_25_Codes_to_Start,../static/course_images/0.png
Build Applications with Java EE - The Basics,0.0,0.0,0.0,0.0,0.0,0.0587448991629,0.0,0.0,0.0,0.0,0.487556577881,0.0,0.0,0.0,0.0,0.0,0.156629281154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287343335524,0.0,-8.65417836466,0.665277061914,navy,5.0,1369.0,75.0,Udemy,https://www.udemy.com/build-applications-with-java-ee/,0,39,hovercourse('Build Applications with Java EE - The Basics'),unhovercourse('Build Applications with Java EE - The Basics'),Build_Applications_with_Java_EE_-_The_Basics,../static/course_images/Build_Applications_with_Java_EE_-_The_Basics.jpg
CSS and CSS3 For Absolute Beginners,0.0745686788811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547734794244,0.0,0.0,0.0,0.0362161450116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333421773805,0.0,-10.668295994,1.95054111978,#4dae4a,40.0,6536.0,84.0,Udemy,https://www.udemy.com/css-and-css3-for-absolute-beginners/,0,26,hovercourse('CSS and CSS3 For Absolute Beginners'),unhovercourse('CSS and CSS3 For Absolute Beginners'),CSS_and_CSS3_For_Absolute_Beginners,../static/course_images/CSS_and_CSS3_For_Absolute_Beginners.jpg
SASS Workflow,0.0,0.0,0.0,0.0,0.052036605895,0.0,0.0,0.0,0.0,0.0,0.440687776386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105044529575,0.479087617372,0.0,-9.57605169437,2.07067669542,navy,46.0,3454.0,91.74,Udemy,https://www.udemy.com/sass-workflow/,0,n.a.,hovercourse('SASS Workflow'),unhovercourse('SASS Workflow'),SASS_Workflow,../static/course_images/SASS_Workflow.jpg
Learning jQuery Mobile for Beginners,0.0,0.0,0.0,0.0449139359318,0.0,0.277893560705,0.0,0.0,0.0,0.0,0.256621015696,0.0,0.0,0.0,0.0,0.0190774887173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400862495973,0.0,-9.07110073519,5.95803648128,navy,23.0,1040.0,95.652,Udemy,https://www.udemy.com/learning-jquery-mobile-for-beginners/,0,20,hovercourse('Learning jQuery Mobile for Beginners'),unhovercourse('Learning jQuery Mobile for Beginners'),Learning_jQuery_Mobile_for_Beginners,../static/course_images/Learning_jQuery_Mobile_for_Beginners.jpg
Learn to Program Using Python,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46473034055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521283645464,0.0,-9.80639064187,2.00978477303,#8dd3c7,,,,EDX,https://www.edx.org/course/learn-program-using-python-utarlingtonx-cse1309x,7.0,n.a.,hovercourse('Learn to Program Using Python'),unhovercourse('Learn to Program Using Python'),Learn_to_Program_Using_Python,../static/course_images/cse1309x-learn_to_program_using_python-378x225.png
Advanced JavaScript: A Course for Serious Programmers,0.0668901930927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614374600818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313953501308,0.0,-11.1103748247,1.75005114622,#4dae4a,50.0,2045.0,91.428,Udemy,https://www.udemy.com/advanced-javascript-a-course-for-serious-programmers/,0,99,hovercourse('Advanced JavaScript: A Course for Serious Programmers'),unhovercourse('Advanced JavaScript: A Course for Serious Programmers'),Advanced_JavaScript:_A_Course_for_Serious_Programmers,../static/course_images/Advanced_JavaScript:_A_Course_for_Serious_Programmers.jpg
Rapid Lo-Dash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439254693248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05216324667,0.0,0.496787188286,0.0,-9.53393561106,2.06089350183,navy,1.0,24.0,60.0,Udemy,https://www.udemy.com/rapid-lo-dash/,0,20,hovercourse('Rapid Lo-Dash'),unhovercourse('Rapid Lo-Dash'),Rapid_Lo-Dash,../static/course_images/0.png
The Java Spring Tutorial: Learn Java's Popular Web Framework,0.0,0.0,0.0,0.0,0.0,0.0421229087832,0.150019425772,0.0,0.0,0.0,0.525022142531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272996524702,0.0,-10.5433300098,1.87211326314,#4dae4a,311.0,12702.0,96.142,Udemy,https://www.udemy.com/javaspring/,0,39,hovercourse('The Java Spring Tutorial: Learn Java's Popular Web Framework'),unhovercourse('The Java Spring Tutorial: Learn Java's Popular Web Framework'),The_Java_Spring_Tutorial:_Learn_Java's_Popular_Web_Framework,../static/course_images/The_Java_Spring_Tutorial:_Learn_Java's_Popular_Web_Framework.jpg
Hardcore Functional Programming: Advanced JavaScript Coding,0.0406032882301,0.0,0.0844383914126,0.0,0.09922294318,0.0,0.0,0.0,0.0,0.0,0.446862467833,0.0,0.0,0.0,0.0319376101347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292436873658,0.0,-9.69422183956,2.08046216689,navy,9.0,396.0,70.0,Udemy,https://www.udemy.com/hardcore-functional-programming-advanced-javascript-coding/,0,99,hovercourse('Hardcore Functional Programming: Advanced JavaScript Coding'),unhovercourse('Hardcore Functional Programming: Advanced JavaScript Coding'),Hardcore_Functional_Programming:_Advanced_JavaScript_Coding,../static/course_images/Hardcore_Functional_Programming:_Advanced_JavaScript_Coding.jpg
First simple BBS with django,0.0,0.0,0.0,0.0,0.0769618492688,0.0,0.0,0.0,0.0,0.0,0.620681046373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282698984699,0.0,-11.4289632778,1.56950361662,#4dae4a,0.0,2.0,0.0,Udemy,https://www.udemy.com/first-simple-bbs-with-django/,0,17,hovercourse('First simple BBS with django'),unhovercourse('First simple BBS with django'),First_simple_BBS_with_django,../static/course_images/First_simple_BBS_with_django.jpg
A Java Servlet E-shop - Advanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0715103471481,0.410835453917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449606861653,0.0,-9.29103780307,2.13785775527,navy,3.0,159.0,100.0,Udemy,https://www.udemy.com/a-java-servlet-e-shop-advanced/,0,59,hovercourse('A Java Servlet E-shop - Advanced'),unhovercourse('A Java Servlet E-shop - Advanced'),A_Java_Servlet_E-shop_-_Advanced,../static/course_images/A_Java_Servlet_E-shop_-_Advanced.jpg
The Ultimate Python Programming Tutorial ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678831462598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311844528057,0.0,-12.7901544677,0.922218320176,#4dae4a,205.0,15206.0,86.274,Udemy,https://www.udemy.com/the-ultimate-python-programming-course/,0,99,hovercourse('The Ultimate Python Programming Tutorial '),unhovercourse('The Ultimate Python Programming Tutorial '),The_Ultimate_Python_Programming_Tutorial_,../static/course_images/The_Ultimate_Python_Programming_Tutorial_.jpg
"JBoss EAP Configuration, Deployment, and Administration ",0.0,0.0,0.0,0.0,0.0,0.187630767858,0.0,0.0,0.0,0.0,0.522801677989,0.0,0.0,0.0,0.0,0.0,0.0987278059978,0.0,0.0,0.0422236646203,0.0,0.0,0.0,0.0,0.144226451428,0.0,-10.600218972,4.16690005045,#4dae4a,3.0,184.0,73.334,Udemy,https://www.udemy.com/jboss-eap-configuration-deployment-and-administration/,0,85,"hovercourse('JBoss EAP Configuration, Deployment, and Administration ')","unhovercourse('JBoss EAP Configuration, Deployment, and Administration ')","JBoss_EAP_Configuration,_Deployment,_and_Administration_","../static/course_images/JBoss_EAP_Configuration,_Deployment,_and_Administration_.jpg"
The Ultimate Web Development Course,0.0,0.0,0.0,0.0,0.0,0.391506853293,0.0,0.0,0.0,0.0,0.350673605306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249395043956,0.0,-9.59508862676,6.45682645481,navy,90.0,8127.0,93.112,Udemy,https://www.udemy.com/build-an-instant-update-database-interface-with-jquery-ajax/,0,38,hovercourse('The Ultimate Web Development Course'),unhovercourse('The Ultimate Web Development Course'),The_Ultimate_Web_Development_Course,../static/course_images/The_Ultimate_Web_Development_Course.jpg
"PHP PDO, Custom Exception Handler, Namespaces for E-commerce",0.0,0.0,0.0,0.0,0.0,0.196146568762,0.0,0.0,0.0,0.0,0.278333352283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516208338064,0.0,-9.03831993546,5.25864626826,#8dd3c7,14.0,86.0,95.714,Udemy,https://www.udemy.com/ecommerce-php-pdo/,0,210,"hovercourse('PHP PDO, Custom Exception Handler, Namespaces for E-commerce')","unhovercourse('PHP PDO, Custom Exception Handler, Namespaces for E-commerce')","PHP_PDO,_Custom_Exception_Handler,_Namespaces_for_E-commerce","../static/course_images/PHP_PDO,_Custom_Exception_Handler,_Namespaces_for_E-commerce.jpg"
AngularJS for the Real World - Learn by creating a WebApp,0.0115514993563,0.0,0.0,0.0,0.107020071417,0.0516006222192,0.0,0.0,0.0,0.0,0.537388367857,0.0,0.0,0.0,0.0,0.0513096587173,0.0,0.0,0.0,0.0,0.0428601970366,0.0,0.0,0.0,0.195613237238,0.0,-10.6903265131,1.82071884082,#4dae4a,3.0,517.0,100.0,Udemy,https://www.udemy.com/angularjs-for-the-real-world-learn-to-create-a-webapp/,0,28,hovercourse('AngularJS for the Real World - Learn by creating a WebApp'),unhovercourse('AngularJS for the Real World - Learn by creating a WebApp'),AngularJS_for_the_Real_World_-_Learn_by_creating_a_WebApp,../static/course_images/AngularJS_for_the_Real_World_-_Learn_by_creating_a_WebApp.jpg
First Steps to Web Development,0.0,0.0205637439829,0.0,0.0,0.0171557205969,0.224134187553,0.0,0.0,0.0,0.0,0.242495307769,0.0,0.0,0.0,0.0,0.0,0.127194471815,0.0,0.0,0.0,0.0,0.0243175674727,0.0,0.0,0.336738464382,0.0,-8.92047380421,5.72740868178,navy,9.0,1202.0,100.0,Udemy,https://www.udemy.com/introduction-to-computer-programming/,0,295,hovercourse('First Steps to Web Development'),unhovercourse('First Steps to Web Development'),First_Steps_to_Web_Development,../static/course_images/0.png
The Ins & Outs of the Newest JavaScript: ES6,0.0,0.0577755559498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632314201538,0.0,0.0,0.0,0.0159863420252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289196784028,0.0,-11.5477310848,1.47845625715,#4dae4a,7.0,307.0,74.286,Udemy,https://www.udemy.com/the-ins-outs-of-the-newest-javascript-es6/,0,99,hovercourse('The Ins & Outs of the Newest JavaScript: ES6'),unhovercourse('The Ins & Outs of the Newest JavaScript: ES6'),The_Ins_&_Outs_of_the_Newest_JavaScript:_ES6,../static/course_images/The_Ins_&_Outs_of_the_Newest_JavaScript:_ES6.jpg
