course_name,Stock trading,Yoga/Mindfulness/Psychology,Photography/Cinematography,Mobile App Development,Architecture/history,Food/Weight Loss/Body Building,Web Development,Success Coaching,Leadership/Business,Communication,Logical Subjects,TBD,Sales/Marketing,4-hr week,Math,Social Sciences,Music,Game Development,Languages,Others,tsne_1,tsne_2,color,provider,general_topics
Guión de Cine: Estructura Narrativa Clásica - Segundo Acto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978888888781,4.10147612039,3.22128636837,#f98174,Udemy,Others
Cómo ser excelente alumno Curso Introductorio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972058823471,4.1014793269,3.22336974738,#f98174,Udemy,Others
Aprenda acordes y ritmos básicos para la guitarra acústica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972058823339,4.10152580556,3.22160141889,#f98174,Udemy,Others
Como Mejorar Tu Voz y Vencer Todos Tus Miedos: Locución PRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966071428364,4.10132786032,3.22148109932,#f98174,Udemy,Others
13 pasos para hablar en público (13 PASOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958695652073,4.10130590155,3.22129384983,#f98174,Udemy,Others
Mejora tu capacidad de cálculo con el Ábaco Soroban,0.0,0.0,0.0244876112982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955512388613,4.08908703033,3.27150428064,#f98174,Udemy,Others
Desarrollo de ideas innovadoras para la docencia efectiva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954761904325,4.10147835681,3.22129267992,#f98174,Udemy,Others
Kinesiotaping Avanzado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940624999824,4.10109894411,3.2213634755,#f98174,Udemy,Others
integrales multiples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056637806367,0.0,0.0,0.0,0.0,0.938068075962,4.23135879627,3.37477065752,#f98174,Udemy,Others
Taller de ANDROID. Leer ficheros XML de un servidor remoto,0.0,0.0,0.0,0.0514093363374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934304949289,4.30115267819,3.00761829707,#f98174,Udemy,Others
Desarrollo Web con Spring,0.0,0.0,0.0,0.0,0.0,0.0,0.067800137632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929699862351,3.42538451605,3.12291202737,#f98174,Udemy,Others
Apple Watch - Desarrollo con WatchKit en Swift,0.0,0.0,0.0,0.0787083245095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918077389745,4.37364438734,2.91938969996,#f98174,Udemy,Others
Presentaciones de alto impacto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894444443712,4.10153428699,3.22162721885,#f98174,Udemy,Others
Etkili Konuşma (Effective Speaking),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881249999715,4.10147586161,3.22124058661,#f98174,Coursera,Others
Lumen 5.1 y Homestead de Laravel: Crea una API RESTful,0.0,0.0,0.0,0.0,0.0,0.0,0.125056363633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.870466024382,2.15467500046,2.9972734531,#f98174,Udemy,Others
Financie seu Sonho: Como Buscar Recursos para Seu Negócio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864285711019,4.10147531753,3.22124057077,#f98174,Udemy,Others
Todos Podemos Asistir a la Universidad!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841666666284,4.10147594022,3.2212345925,#f98174,Udemy,Others
Aprende a maquetar: HTML & CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.167966971988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823542461874,1.86241382005,2.9605543567,#f98174,Udemy,Others
Optimiza la Velocidad Web en WordPress,0.0,0.0,0.0,0.0,0.0,0.0,0.181981686686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811937232167,1.79113647966,2.94695027499,#f98174,Udemy,Others
Matemática Financeira ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159485487812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771283742623,4.40412550213,4.18139126121,#f98174,Udemy,Others
Swift para Desarrolladores Objective-C,0.0125000000001,0.0125,0.0125000000009,0.0125000000004,0.0125000000004,0.0125000000003,0.0125000000002,0.0125,0.0125000000009,0.0125,0.0125000000007,0.0125,0.0125000000023,0.0125000000005,0.0125,0.0125,0.0125000000004,0.0125,0.0125,0.762499999993,3.86038113605,3.17455131848,#f98174,Udemy,Others
Master Website Development Using HTML & CSS-español,0.0125,0.0125,0.0125000000147,0.0125000001015,0.0125000002296,0.0125,0.0125000008963,0.0125000000008,0.0125,0.0125,0.0125,0.0125,0.0125000000112,0.0125000000226,0.0125,0.0125000000034,0.0125000000032,0.0125000000058,0.0125,0.762499998711,3.86037959852,3.17573419891,#f98174,Udemy,Others
iOS para Apps,0.0,0.0,0.0,0.235728739856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735239001977,4.82949669086,-0.678553175088,#f98174,Udemy,"Others, Mobile App Development"
Depression Help: Overcome Depression Naturally in 30 Days,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0838678369882,0.0,0.0,0.0,0.0,0.0,0.182173960135,0.0,0.0,0.0,0.0,0.0,0.729421124709,5.40555834401,1.53950917635,#f98174,Udemy,Others
Desarrollo de Videojuegos en Unity 3d 4.3 y 5,0.0,0.0,0.106986204472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125447129414,0.0,0.725066665731,3.87823385601,3.71994238668,#f98174,Udemy,Others
Aprenda PHP em 178 videoaulas,0.0,0.0,0.0,0.0,0.218718394377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706281604377,6.02940621128,3.30235980377,#f98174,Udemy,"Architecture/history, Others"
Iníciate en IOS con tu iPad/iPhone,0.0,0.0,0.0,0.275161832913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685707732023,4.82427873643,-0.753903808386,#f98174,Udemy,"Others, Mobile App Development"
Introducción a la Economía,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666719,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.683333333328,3.82141902459,3.17447046039,#f98174,Udemy,Others
Recursos digitales para desarrollar Inteligencias Múltiples,0.0166666667618,0.0166666669184,0.0166666668831,0.0166666667748,0.0166666675418,0.0166666666812,0.0166666673251,0.0166666667373,0.0166666668579,0.0166666668236,0.0166666666823,0.0166666666667,0.0166666668272,0.0166666863837,0.0166666666667,0.0166666667852,0.0166666667304,0.0166666666717,0.0166666667392,0.683333310542,3.82196081605,3.15816121725,#f98174,Udemy,Others
Bases del desarrollo web,0.0,0.0,0.0,0.0,0.0,0.0,0.309863289751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.655521325507,1.1853842859,2.73125764306,#f98174,Udemy,"Others, Web Development"
"Desarrollo de Videojuegos para iOS, Android y BlackBerry10",0.0,0.0,0.0,0.312144815746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618624414767,4.81274206212,-0.848621689652,#f98174,Udemy,"Others, Mobile App Development"
"HTML5, CSS3 y Javascript",0.0,0.0,0.0,0.0,0.0,0.0,0.357653499402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618022175956,1.13453922057,2.66047456056,#f98174,Udemy,"Others, Web Development"
להכנס להריון באופן טבעי בעזרת שיטת מודעות לפוריות ,0.0100000000869,0.0100000000922,0.0100000000398,0.0100000000383,0.010000000122,0.0100000000818,0.0100000000296,0.0100000001195,0.0100000000931,0.0100000000204,0.0100000000784,0.0100000000518,0.0100000000424,0.0100000001342,0.0100000000389,0.210054336992,0.0100000000291,0.0100000000432,0.0100000000794,0.609945661787,2.77756423635,3.31376317496,#f98174,Udemy,"Social Sciences, Others"
"O que é Yoga, do Sagrado à Era dos Apps ?",0.0100279690865,0.239796315699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19733959677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539929889018,4.80514762156,8.95404416337,#f98174,Udemy,"Yoga/Mindfulness/Psychology, Others"
Aprende todos los secretos de la salsa para piano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203136765436,0.0,0.0,0.0,0.0,0.267314601459,0.0,0.0,0.520408848144,6.80911144236,12.645913413,#f98174,Udemy,"Music, Others, TBD"
Programación Android 04 Ciclo de vida de una actividad,0.0,0.0,0.0,0.448792440365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520173076869,4.67503132384,-1.49703472841,#f98174,Udemy,"Others, Mobile App Development"
Toque teclado: os primeiros passos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205000000016,0.0,0.0,0.0,0.0,0.0,0.202508653633,0.0,0.0,0.507491346107,6.47220006711,12.0451699854,#f98174,Udemy,"Music, Others, Logical Subjects"
Aprende a tocar el acordeón de botones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486256252851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493289201664,2.53643105658,6.69984803448,#f98174,Udemy,"Others, TBD"
Produção de podcasts nos moldes do Escriba Cafe,0.0,0.0,0.22105126463,0.0114634457907,0.0,0.0,0.0,0.0,0.0,0.0,0.267337439942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489621533781,4.39061115033,4.58726721154,#f98174,Udemy,"Others, Photography/Cinematography, Logical Subjects"
La Communication Non Verbale ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191134525608,0.0,0.214954550822,0.0,0.0,0.0,0.0,0.083076512846,0.0,0.0,0.0,0.0,0.477501076704,-0.0213471443037,4.93112359964,#f98174,Udemy,"Others, Communication"
Aprende a tocar ritmos latinos en el teclado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518040679999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46811316609,2.51867638547,6.7098994539,#f98174,Udemy,"Others, TBD"
Biologia - Intensivo para Enem e Vestibulares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100712484651,0.426046766049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464654890626,2.63759082037,6.75576831974,#f98174,Udemy,"Others, TBD"
5 principi per realizzare e tenere presentazioni persuasive,0.0,0.0,0.0,0.258504315442,0.0,0.0,0.0,0.0,0.0,0.0,0.261972795374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460633999899,4.85084949131,-0.40878645209,#f98174,Udemy,"Others, Mobile App Development, Logical Subjects"
Java SE II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498220505773,0.0,0.454411071918,2.75777783951,-5.21439300595,#f98174,Udemy,"Others, Game Development"
Easy-2-Dance-Hip-Hop|The Ultimate Hip Hop Dance Course,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122473520236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42286862782,0.449687091613,3.05710834913,2.29384782524,#f98174,Udemy,"Languages, Others"
Crear Video Juegos sin saber Programar con Construct 2,0.0,0.0,0.0,0.0,0.104856737276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453940629169,0.0,0.436506500897,3.01257512792,-5.15638637784,#f98174,Udemy,"Others, Game Development"
Evaluation financière de l'entreprise,0.0,0.0,0.051320586312,0.0987328374987,0.0,0.0,0.0620984528744,0.0,0.0849531522971,0.250142847182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423585456679,-0.598345442261,4.89999429382,#f98174,Coursera,"Others, Communication"
The Olympic Games and the Media,0.0,0.0,0.0,0.0,0.106096698797,0.0,0.0,0.0,0.0133245242729,0.0,0.0,0.0,0.0,0.0,0.0,0.373187052301,0.0,0.101959601663,0.0,0.402580411894,-9.15179596219,2.03894959241,#f98174,Coursera,"Social Sciences, Others"
Aprende a tocar la flauta dulce de forma sencilla y gradual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585175500722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393395927728,2.50210356388,6.73088962853,#f98174,Udemy,"Others, TBD"
Dance Floor Game/Club Seduction,0.0,0.0240540903896,0.0,0.0,0.0,0.0,0.0,0.0443573417117,0.0,0.0,0.0,0.0,0.0,0.0547742295952,0.0,0.0,0.0,0.0,0.484006116682,0.391499321068,4.31649694638,2.58812668704,#f98174,Udemy,"Languages, Others"
Salsa dancing from Start-to-Star!,0.0,0.0651176439399,0.0,0.0,0.0,0.0657032078455,0.0,0.128535261718,0.0,0.0,0.0,0.0,0.0873394334671,0.0709826684635,0.0,0.0,0.0411178577924,0.0,0.151253447673,0.387341783391,2.26817049806,1.58095099457,#f98174,Udemy,Others
Hip Hop Dance Foundation - Breakdancing,0.0,0.136542909766,0.0,0.0,0.0,0.357507118785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364254762563,0.0,0.177188168568,0.289079220497,-3.22569665996,13.5749969822,#f98174,Udemy,"Food/Weight Loss/Body Building, Others"
How To Rap Like A Pro - 8 Steps To Rapping Like The Pros,0.0,0.0284896535428,0.115586171981,0.0,0.0,0.0,0.0,0.111855676068,0.0,0.0445968238467,0.0,0.0,0.0,0.0780389182894,0.0,0.0,0.0,0.0,0.342819752756,0.276536326158,3.68168382164,2.11113681537,#f98174,Udemy,"Languages, Others"
Položi Matematiku 2 na idućem roku! Lakše je nego što misliš,0.0125000000936,0.0125000000066,0.0125000000555,0.0125000000139,0.498976556313,0.0125000000026,0.0125000000579,0.0125000000078,0.0125000000062,0.0125000002555,0.0125000000001,0.0125,0.012500000071,0.0125000004725,0.0125,0.0125000000662,0.0125000001685,0.0125000000114,0.0125000000035,0.276023442394,13.9018940615,0.343276548439,#f98174,Udemy,"Architecture/history, Others"
Kits de técnicas para la comunicación oral,0.0125000000533,0.0125000000038,0.0125000000269,0.0125000000067,0.0125000001109,0.0125000000013,0.0125000000591,0.012500000002,0.0125000000035,0.0125000001455,0.0125000000001,0.0125000002979,0.0125000000402,0.505000160365,0.0125,0.0125000000377,0.0125000000014,0.0125000000052,0.0125000000099,0.26999983883,8.92176168204,-3.80464889564,#f98174,Udemy,"Others, 4-hr week"
Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398003558425,0.111481133161,0.0,0.0,0.123274012803,0.0,0.0,0.0,0.0,0.267241294876,3.43924201428,9.47091800604,#f98174,Udemy,"Others, Logical Subjects"
Abortion: Quality Care and Public Health Implications,0.0,0.0,0.0,0.0,0.0,0.0402958253701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698579157717,0.0,0.0,0.0,0.257598045891,-11.9458836778,1.34698262077,#f98174,Coursera,"Social Sciences, Others"
Learn How To Freestyle Rap And Write Great Rap Lyrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037431965702,0.0,0.0716465573268,0.0,0.0,0.0,0.260750938243,0.0,0.0,0.0,0.0,0.37404626976,0.254939434814,5.39942072044,0.933176137571,#f98174,Udemy,"Languages, Others, 4-hr week"
元スターバックス日本代表 岩田松雄のリーダーに贈る言葉,0.0125000000314,0.0125000002749,0.0125000000341,0.0125000000843,0.0125000003091,0.526322656395,0.0125000000198,0.0125000000282,0.0125000000119,0.0125000000325,0.0125000000817,0.0125000000723,0.0125000000391,0.0125000000557,0.0125000001287,0.0125000000098,0.0125000000194,0.012500000073,0.0125000000405,0.248677342259,-3.83356345059,14.0496882832,#f98174,Udemy,"Food/Weight Loss/Body Building, Others"
Dance Floor Confidence | How to Dance at a Club - for Men,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155370149821,0.0585923464136,0.0,0.0,0.116894862611,0.41554179579,0.248428431478,5.34970313589,1.81569035826,#f98174,Udemy,"Languages, Others"
Ahora aprende a tocar jazz en el piano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166632439626,0.0,0.0,0.0,0.0,0.573685738201,0.0,0.0,0.244227276706,7.74568454519,13.8820869465,#f98174,Udemy,"Music, Others"
"How To Club Dance-Crash Course For Men|Openers, Basic Moves",0.0,0.104707602468,0.0213308929001,0.0,0.0,0.090648860675,0.0,0.329599282297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205583091057,0.243094299293,-2.12946915456,0.184839281902,#f98174,Udemy,"Success Coaching, Languages, Others"
Become a confident Strategic Thinker,0.0,0.303832324709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392417403663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238365654581,-1.32064250482,7.43777320268,#f98174,Udemy,"Yoga/Mindfulness/Psychology, Others, Communication"
Bölme-Bölünebilme,0.01,0.01,0.0100000000001,0.222786833581,0.0100000002007,0.01,0.397213165424,0.010000000134,0.01,0.01,0.0100000003315,0.01,0.0100000000011,0.01,0.01,0.0100000000076,0.0100000000174,0.01,0.01,0.210000000302,-0.145189342412,-9.72072069551,#f98174,Udemy,"Others, Web Development, Mobile App Development"
Tai Chi Combat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722995833964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202004165053,-5.55328883475,-0.881318848799,#f98174,Udemy,"Success Coaching, Others"
International Business I - Negocios Internacionales I,0.068942283582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316329229996,0.0,0.0,0.101252664915,0.0,0.0,0.581905465186,0.0113403002414,0.0,0.0,0.201461016492,-10.5597543486,1.04243859979,#f98174,Coursera,"Social Sciences, Others"
International Business II - Negocios Internacionales II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378926604178,0.0791746298778,0.0,0.0204849900488,0.051551765947,0.0,0.0,0.276093756923,0.0,0.0,0.0,0.189922099125,-10.5363353681,-3.49901790947,#f98174,Coursera,"Social Sciences, Leadership/Business"
The Emergency Medical System,0.0263209374913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430637737012,0.0,0.0,0.0,0.0,0.0,0.353862624756,0.0,0.0,0.0,0.180087791496,-6.54516943099,4.78934290895,#f98174,Udemy,"Social Sciences, Communication"
Major Depression in the Population: A Public Health Approach,0.0,0.246079486426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567879004295,0.0,0.0,0.0,0.176271394231,-12.9396789102,3.43355130036,#f98174,Coursera,"Social Sciences, Yoga/Mindfulness/Psychology"
How To Breakdance Mini-Course,0.0,0.0503668636759,0.0,0.0,0.0,0.0,0.0,0.0165552880321,0.0,0.0,0.0,0.0,0.0,0.173126294397,0.0,0.0410596433841,0.0,0.0,0.544405250572,0.171569993213,5.43007454354,1.72453018754,#f98174,Udemy,Languages
Hip Hop Dance For Beginners,0.0,0.18376081467,0.139138912945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0733553901948,0.0,0.431983340817,0.164335798658,5.61958201864,3.7356724729,#f98174,Udemy,Languages
Couples Massage - Learn How to Connect and Soothe,0.0,0.0,0.0,0.0,0.0,0.677777508738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140071657523,0.0,0.0,0.0,0.162383391482,-4.08763763209,15.7645872142,#f98174,Udemy,Food/Weight Loss/Body Building
Award Winning Isla Verde Spa Relaxation Massage Masterclass,0.0,0.173162940991,0.0,0.0,0.0,0.11553010933,0.0,0.0,0.0,0.0,0.0,0.0,0.0298783599819,0.349298979908,0.0,0.0,0.0,0.0,0.169929051655,0.160177436709,8.52546796127,2.557049007,#f98174,Udemy,4-hr week
Learn How to Breakdance and Rule The Dance Floor,0.0,0.096640306794,0.0230540255323,0.0,0.0,0.0,0.0,0.0189897309848,0.0,0.0,0.0,0.0,0.0,0.126963004515,0.0,0.0223773772017,0.0,0.0,0.555061098121,0.155385045051,5.36220886924,1.89448883722,#f98174,Udemy,Languages
Fiverr Freaks Take Over,0.0,0.303229021188,0.0,0.0,0.0,0.0,0.0,0.489291731126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154354246838,-2.14381252618,-0.373517891121,#f98174,Udemy,"Success Coaching, Yoga/Mindfulness/Psychology"
The Most Important Techniques of Brazilian Jiu Jitsu,0.0,0.0888683650914,0.0450612126323,0.0,0.0,0.225442988304,0.0,0.291262103156,0.0,0.0,0.0,0.0258552100962,0.0,0.0,0.0168531363973,0.0,0.0200585118646,0.0239305168759,0.10312782929,0.153074057393,-2.11639505735,12.3040447328,#f98174,Udemy,"Success Coaching, Food/Weight Loss/Body Building"
